Data,Hora,Categoria,Nubank,Neon,C6,Inter,Digio,Next,PAN
2021-02-06,21:12,Finanças,2,13,5,11,30,21,1
2021-02-07,00:21,Finanças,2,13,5,11,30,21,1
2021-02-08,00:21,Finanças,2,8,7,9,31,21,1
2021-02-09,00:21,Finanças,2,14,8,12,32,22,1
2021-02-10,00:21,Finanças,3,14,10,13,33,22,1
2021-02-11,00:21,Finanças,2,14,7,11,30,23,1
2021-02-12,00:21,Finanças,3,15,7,13,30,23,1
2021-02-13,00:21,Finanças,3,17,7,13,30,25,1
2021-02-14,00:21,Finanças,3,17,6,10,29,25,2
2021-02-15,00:21,Finanças,3,14,6,9,29,23,2
2021-02-16,00:21,Finanças,3,16,5,9,30,24,2
2021-02-17,00:21,Finanças,3,15,5,9,28,24,2
2021-02-18,00:21,Finanças,3,16,5,10,29,25,2
2021-02-20,00:21,Finanças,3,17,8,12,29,25,2
2021-02-21,00:21,Finanças,3,15,8,11,31,24,2
2021-02-22,00:21,Finanças,3,14,8,10,29,23,2
2021-02-23,00:21,Finanças,3,17,8,13,29,24,2
2021-02-24,00:21,Finanças,3,18,8,12,31,25,2
2021-02-25,00:21,Finanças,3,18,8,14,31,26,2
2021-02-26,00:21,Finanças,3,18,7,12,31,25,2
2021-02-27,00:21,Finanças,3,18,8,12,32,25,2
2021-02-28,00:21,Finanças,3,16,8,11,31,25,2
2021-03-01,00:21,Finanças,4,15,7,10,28,25,2
2021-03-02,00:21,Finanças,3,16,9,12,34,26,2
2021-03-03,00:21,Finanças,3,14,8,10,32,25,2
2021-03-04,00:21,Finanças,3,19,9,11,30,25,1
2021-03-05,00:21,Finanças,3,18,10,11,31,25,2
2021-03-06,00:21,Finanças,3,19,9,12,35,25,2
2021-03-07,00:21,Finanças,3,19,9,11,33,25,2
2021-03-08,00:21,Finanças,2,19,8,9,29,24,3
2021-03-09,00:21,Finanças,2,19,8,10,36,24,4
2021-03-10,00:21,Finanças,2,18,7,11,36,24,4
2021-03-11,00:21,Finanças,2,18,7,10,34,23,5
2021-03-12,00:21,Finanças,3,19,9,10,33,22,6
2021-03-13,00:21,Finanças,3,20,9,11,34,22,7
2021-03-14,00:21,Finanças,3,20,7,11,31,22,8
2021-03-15,00:21,Finanças,3,17,7,12,31,22,5
2021-03-16,00:21,Finanças,3,20,8,11,38,22,7
2021-03-17,00:21,Finanças,3,20,8,11,37,22,7
2021-03-18,00:21,Finanças,3,20,9,11,36,22,6
2021-03-19,00:21,Finanças,3,20,7,12,30,23,9
2021-03-20,00:21,Finanças,3,21,9,13,30,23,8
2021-03-21,00:21,Finanças,3,20,9,12,30,22,7
2021-03-22,00:21,Finanças,2,19,8,12,33,23,5
2021-03-23,00:21,Finanças,3,21,9,13,33,24,5
2021-03-24,22:41,Finanças,3,19,7,11,30,22,6
2021-03-25,00:21,Finanças,3,19,7,11,30,22,6
2021-03-26,00:21,Finanças,3,21,8,10,33,23,6
2021-03-27,00:21,Finanças,2,21,9,11,33,24,6
2021-03-28,00:21,Finanças,2,21,8,11,31,24,6
2021-03-29,00:21,Finanças,2,18,8,11,33,24,6
2021-03-30,00:21,Finanças,2,20,7,11,34,24,5
2021-03-31,00:21,Finanças,2,21,7,12,34,24,5
2021-04-01,00:21,Finanças,3,21,9,10,37,24,8
2021-04-02,00:21,Finanças,3,21,10,9,40,25,12
2021-04-03,00:28,Finanças,4,21,10,9,36,24,8
2021-04-04,00:21,Finanças,3,21,5,9,36,26,7
2021-04-04,00:28,Finanças,3,21,5,9,36,26,7
2021-04-05,00:21,Finanças,2,20,7,9,36,28,4
2021-04-05,00:28,Finanças,2,20,7,9,36,28,4
2021-04-06,00:21,Finanças,3,22,7,10,41,26,6
2021-04-06,00:28,Finanças,3,22,7,10,41,26,6
2021-04-08,00:21,Finanças,2,21,7,12,33,27,10
2021-04-08,00:28,Finanças,2,21,7,12,33,27,10
2021-04-09,00:21,Finanças,2,20,6,11,34,27,10
2021-04-09,00:28,Finanças,2,20,6,11,34,27,10
2021-04-10,00:21,Finanças,2,17,6,10,35,26,7
2021-04-10,00:28,Finanças,2,17,6,10,35,26,7
2021-04-11,00:21,Finanças,2,21,6,8,34,25,7
2021-04-12,00:21,Finanças,2,19,8,5,35,27,12
2021-04-12,00:28,Finanças,2,19,8,5,35,27,12
2021-04-13,00:21,Finanças,2,17,8,6,37,27,11
2021-04-13,00:28,Finanças,2,17,8,6,37,27,11
2021-04-14,00:21,Finanças,2,16,6,7,38,30,8
2021-04-14,00:28,Finanças,2,16,6,7,38,30,8
2021-04-15,00:21,Finanças,1,15,7,8,37,27,6
2021-04-15,00:28,Finanças,1,15,7,8,37,27,6
2021-04-16,00:21,Finanças,1,16,7,8,35,26,6
2021-04-16,00:28,Finanças,1,16,7,8,35,26,6
2021-04-17,00:21,Finanças,1,19,8,9,35,26,3
2021-04-17,00:28,Finanças,1,19,8,9,35,26,3
2021-04-18,00:21,Finanças,1,18,7,10,32,24,3
2021-04-18,00:28,Finanças,1,18,7,10,32,24,3
2021-04-19,00:21,Finanças,1,15,7,10,32,24,3
2021-04-20,00:21,Finanças,1,16,7,10,31,25,4
22/04/2021,00:21,Finanças,1,16,8,4,31,25,3
23/04/2021,00:21,Finanças,1,16,8,9,32,24,4
24/04/2021,00:21,Finanças,1,19,7,9,32,24,5
25/04/2021,00:21,Finanças,1,17,5,10,31,24,6
27/04/2021,00:21,Finanças,1,17,5,10,31,24,4
28/04/2021,00:21,Finanças,1,19,6,11,30,25,7
29/04/2021,00:21,Finanças,1,19,5,9,32,25,4
30/04/2021,00:21,Finanças,1,19,7,10,33,25,6
01/05/2021,00:21,Finanças,1,21,5,9,33,25,7
02/05/2021,00:21,Finanças,1,20,4,9,32,25,5
03/05/2021,00:21,Finanças,1,21,5,8,36,26,6
04/05/2021,00:21,Finanças,1,20,5,10,36,25,8
05/05/2021,00:21,Finanças,1,22,7,12,35,25,14
06/05/2021,00:21,Finanças,1,22,7,13,38,24,12
07/05/2021,00:21,Finanças,1,23,6,13,38,22,12
08/05/2021,00:21,Finanças,1,22,6,13,39,18,7
09/05/2021,00:21,Finanças,1,23,8,11,36,20,10
10/05/2021,00:21,Finanças,1,23,7,10,34,21,11
11/05/2021,00:21,Finanças,1,21,6,10,36,22,13
12/05/2021,00:21,Finanças,1,22,7,10,35,23,6
13/05/2021,00:21,Finanças,3,21,8,11,32,22,6
14/05/2021,00:21,Finanças,1,22,8,9,34,16,6
15/05/2021,00:21,Finanças,1,22,4,11,34,18,6
16/05/2021,00:21,Finanças,1,23,5,12,34,20,6
17/05/2021,00:21,Finanças,1,23,5,8,34,21,6
18/05/2021,00:21,Finanças,1,21,9,11,32,24,4
19/05/2021,00:21,Finanças,1,19,10,12,32,22,3
20/05/2021,00:21,Finanças,1,21,7,12,31,22,3
21/05/2021,00:21,Finanças,1,22,8,12,31,21,6
22/05/2021,00:21,Finanças,1,20,3,11,31,21,8
23/05/2021,00:21,Finanças,1,20,3,12,30,21,8
24/05/2021,00:21,Finanças,1,20,3,12,31,21,6
25/05/2021,00:21,Finanças,1,19,6,12,32,22,7
26/05/2021,00:21,Finanças,1,19,7,11,32,23,6
27/05/2021,00:21,Finanças,1,18,7,8,31,21,5
28/05/2021,00:21,Finanças,1,20,8,6,32,21,5
29/05/2021,00:21,Finanças,1,22,4,9,35,20,6
30/05/2021,00:21,Finanças,1,22,3,9,33,21,8
31/05/2021,00:21,Finanças,1,12,4,9,32,22,6
01/06/2021,00:21,Finanças,1,18,6,7,33,22,9
02/06/2021,00:21,Finanças,1,20,8,9,33,23,4
03/06/2021,00:21,Finanças,1,20,4,11,36,23,7
05/06/2021,00:21,Finanças,1,23,5,11,36,22,4
06/06/2021,00:21,Finanças,1,24,4,9,32,22,5
07/06/2021,00:21,Finanças,1,24,4,8,32,23,6
08/06/2021,00:21,Finanças,1,21,4,9,37,24,5
09/06/2021,00:21,Finanças,1,19,5,9,35,24,4
11/06/2021,00:21,Finanças,1,21,5,11,33,23,6
12/06/2021,00:21,Finanças,1,21,5,11,34,24,6
13/06/2021,00:21,Finanças,1,21,5,9,33,24,7
14/06/2021,00:21,Finanças,1,17,4,6,32,25,7
15/06/2021,00:21,Finanças,1,18,4,8,34,26,6
16/06/2021,00:21,Finanças,1,19,5,9,33,25,4
17/06/2021,00:21,Finanças,1,19,6,9,33,23,4
18/06/2021,00:21,Finanças,1,20,7,11,34,23,4
19/06/2021,00:21,Finanças,1,21,7,13,32,24,5
20/06/2021,00:21,Finanças,1,22,7,9,31,23,4
21/06/2021,00:21,Finanças,1,21,7,8,33,23,4
22/06/2021,00:21,Finanças,1,21,6,7,33,25,5
23/06/2021,00:21,Finanças,1,23,7,9,37,24,4
24/06/2021,00:21,Finanças,1,22,8,7,36,23,3
25/06/2021,00:21,Finanças,1,23,7,9,35,22,3
26/06/2021,00:21,Finanças,1,25,7,9,37,27,4
27/06/2021,00:21,Finanças,1,20,3,9,37,26,4
28/06/2021,00:21,Finanças,1,19,4,7,32,24,3
29/06/2021,00:21,Finanças,1,17,2,5,31,26,3
30/06/2021,00:21,Finanças,1,18,2,7,33,26,5
01/07/2021,00:21,Finanças,1,13,2,12,33,27,3
02/07/2021,00:21,Finanças,1,20,5,10,35,26,2
03/07/2021,00:21,Finanças,1,21,5,8,36,24,3
04/07/2021,00:21,Finanças,1,20,6,5,35,25,2
05/07/2021,00:21,Finanças,1,22,4,6,34,25,3
06/07/2021,00:21,Finanças,1,22,4,7,38,25,3
07/07/2021,00:21,Finanças,1,21,4,6,35,25,2
08/07/2021,00:21,Finanças,1,21,3,6,34,24,5
09/07/2021,00:21,Finanças,1,19,3,7,34,24,5
10/07/2021,00:21,Finanças,1,19,5,9,35,24,3
11/07/2021,00:21,Finanças,1,19,5,8,35,24,4
12/07/2021,00:21,Finanças,1,20,5,7,33,24,3
13/07/2021,00:21,Finanças,1,20,4,10,34,26,2
14/07/2021,00:21,Finanças,1,18,4,11,33,23,2
15/07/2021,00:21,Finanças,1,16,4,12,33,22,2
16/07/2021,00:21,Finanças,1,19,5,10,33,23,2
17/07/2021,00:21,Finanças,1,19,5,11,33,23,2
18/07/2021,00:21,Finanças,1,17,4,10,32,21,2
19/07/2021,00:21,Finanças,1,19,4,10,30,21,2
20/07/2021,00:21,Finanças,1,20,4,11,35,19,2
21/07/2021,00:21,Finanças,1,21,4,11,36,19,3
22/07/2021,00:21,Finanças,1,21,5,11,34,19,3
