quando|cidade|pais|nascer_do_sol|por_do_sol|velocidade_vento|ang_vento|visibilidade|temperatura_min|temperatura_max|pressao|umidade|sensacao_termica|condicao_meteorologica|descricao|longitude|latitude
2021-09-21 18:57:08|São Paulo|BR|2021-09-21 05:56:58|2021-09-21 18:02:12|5.14|140|4000|15.08|17.94|1019|90|17.04|Mist|névoa|-46.6361|-23.5475
2021-09-21 18:56:10|Guarulhos|BR|2021-09-21 05:56:34|2021-09-21 18:01:48|3.6|180|10000|15.03|17.88|1019|88|17.2|Mist|névoa|-46.5333|-23.4628
2021-09-21 18:55:30|Campinas|BR|2021-09-21 05:58:40|2021-09-21 18:03:55|9.26|130|10000|20.89|20.89|1015|78|21.07|Clouds|nuvens dispersas|-47.0608|-22.9056
2021-09-21 18:54:34|São Bernardo do Campo|BR|2021-09-21 05:56:42|2021-09-21 18:01:55|7.72|180|5000|14.84|17.69|1019|91|16.64|Mist|névoa|-46.565|-23.6939
2021-09-21 18:54:20|São José dos Campos|BR|2021-09-21 05:53:58|2021-09-21 17:59:13|3.6|190|8000|19.04|21.92|1019|77|19.69|Clouds|nublado|-45.8869|-23.1794
2021-09-21 18:54:02|Santo André|BR|2021-09-21 05:56:35|2021-09-21 18:01:49|7.72|180|5000|14.91|17.76|1019|91|16.77|Mist|névoa|-46.5383|-23.6639
2021-09-21 18:57:34|Ribeirão Preto|BR|2021-09-21 06:01:37|2021-09-21 18:06:57|2.57|240|9000|37.0|37.0|1010|13|34.4|Clouds|nublado|-47.8103|-21.1775
2021-09-21 18:57:20|Osasco|BR|2021-09-21 05:57:36|2021-09-21 18:02:50|5.14|140|4000|15.16|20.4|1018|90|17.12|Mist|névoa|-46.7917|-23.5325
2021-09-21 18:57:41|Sorocaba|BR|2021-09-21 06:00:16|2021-09-21 18:05:30|9.07|137|10000|21.43|21.43|1015|80|21.72|Clouds|nublado|-47.4581|-23.5017
2021-09-21 18:57:44|Mauá|BR|2021-09-21 05:56:17|2021-09-21 18:01:30|5.11|151|6966|15.04|17.89|1018|94|17.01|Clouds|nublado|-46.4614|-23.6678
2021-09-21 18:53:15|São José do Rio Preto|BR|2021-09-21 06:07:53|2021-09-21 18:13:14|3.6|240|10000|37.15|37.15|1010|8|34.15|Clear|céu limpo|-49.3794|-20.8197
2021-09-21 18:57:51|Mogi das Cruzes|BR|2021-09-21 05:55:11|2021-09-21 18:00:25|3.45|159|10000|15.11|18.2|1018|91|18.1|Clouds|nublado|-46.1883|-23.5228
2021-09-21 18:53:13|Santos|BR|2021-09-21 05:55:46|2021-09-21 18:00:59|3.09|220|3000|19.95|22.81|1017|88|20.44|Mist|névoa|-46.3336|-23.9608
2021-09-21 18:57:58|Diadema|BR|2021-09-21 05:56:55|2021-09-21 18:02:09|4.47|95|5000|14.9|17.75|1019|90|16.7|Mist|névoa|-46.6228|-23.6861
2021-09-21 18:57:02|Jundiaí|BR|2021-09-21 05:57:58|2021-09-21 18:03:12|7.32|137|10000|16.47|20.43|1015|79|19.74|Rain|chuva leve|-46.8842|-23.1864
2021-09-21 18:57:02|Piracicaba|BR|2021-09-21 06:01:00|2021-09-21 18:06:17|8.3|147|10000|21.85|21.85|1013|71|21.94|Clouds|nublado|-47.6492|-22.7253
2021-09-21 18:58:08|Carapicuíba|BR|2021-09-21 05:57:49|2021-09-21 18:03:03|6.86|146|10000|14.92|20.16|1017|82|16.62|Clouds|nublado|-46.8485|-23.5534
2021-09-21 18:57:05|Bauru|BR|2021-09-21 06:06:38|2021-09-21 18:11:56|1.54|180|10000|37.52|37.52|1011|26|37.45|Clear|céu limpo|-49.0606|-22.3147
2021-09-21 18:58:15|Itaquaquecetuba|BR|2021-09-21 05:55:49|2021-09-21 18:01:03|3.6|180|10000|15.09|18.17|1019|88|17.41|Clouds|nublado|-46.3483|-23.4861
2021-09-21 18:58:19|São Vicente|BR|2021-09-21 05:56:00|2021-09-21 18:01:13|3.09|220|3000|19.98|22.84|1017|88|20.58|Drizzle|garoa de leve intensidade|-46.3919|-23.9631
