titulo;data_inicio;data_fim;certificado;icone
Excel: Domine o editor de planilhas mais famoso do mundo;2019-11-30;2019-12-09;https://cursos.alura.com.br/user/viniantunes/course/excel/certificate;https://www.alura.com.br/assets/api/cursos/excel.svg
Matemática: Continuidade de funções e seus limites;2019-12-09;2019-12-09;https://cursos.alura.com.br/user/viniantunes/course/limites/certificate;https://www.alura.com.br/assets/api/cursos/limites.svg
Matemática: Funções e seus usos;2019-12-07;2019-12-09;https://cursos.alura.com.br/user/viniantunes/course/funcoes/certificate;https://www.alura.com.br/assets/api/cursos/funcoes.svg
Matemática: Introdução ao cálculo de derivadas;2019-12-06;2019-12-09;https://cursos.alura.com.br/user/viniantunes/course/derivadas/certificate;https://www.alura.com.br/assets/api/cursos/derivadas.svg
Data Science: Primeiros passos;2019-11-28;2019-12-09;https://cursos.alura.com.br/user/viniantunes/course/data-science-primeiros-passos/certificate;https://www.alura.com.br/assets/api/cursos/data-science-primeiros-passos.svg
Python 3 parte 1: Introdução à nova versão da linguagem;2019-12-10;2019-12-13;https://cursos.alura.com.br/user/viniantunes/course/python-3-introducao-a-nova-versao-da-linguagem/certificate;https://www.alura.com.br/assets/api/cursos/python-3-introducao-a-nova-versao-da-linguagem.svg
Matemática: Introdução ao cálculo de integrais;2019-12-09;2019-12-18;https://cursos.alura.com.br/user/viniantunes/course/integrais/certificate;https://www.alura.com.br/assets/api/cursos/integrais.svg
Python 3 parte 2: Avançando na linguagem;2019-12-13;2019-12-19;https://cursos.alura.com.br/user/viniantunes/course/python-3-avancando-na-linguagem/certificate;https://www.alura.com.br/assets/api/cursos/python-3-avancando-na-linguagem.svg
Excel II: Tabelas dinâmicas, validação e mais funções;2019-12-19;2019-12-22;https://cursos.alura.com.br/user/viniantunes/course/excel-2/certificate;https://www.alura.com.br/assets/api/cursos/excel-2.svg
Excel III: Avançando em funções e criando suas macros;2019-12-22;2019-12-26;https://cursos.alura.com.br/user/viniantunes/course/excel-3/certificate;https://www.alura.com.br/assets/api/cursos/excel-3.svg
Python 3: Introdução a Orientação a objetos;2019-12-19;2019-12-27;https://cursos.alura.com.br/user/viniantunes/course/python-3-intro-orientacao-objetos/certificate;https://www.alura.com.br/assets/api/cursos/python-3-intro-orientacao-objetos.svg
Excel: Simulação e análise de cenários;2019-12-26;2019-12-28;https://cursos.alura.com.br/user/viniantunes/course/excel-simulacao-e-analise-de-cenarios/certificate;https://www.alura.com.br/assets/api/cursos/excel-simulacao-e-analise-de-cenarios.svg
Python 3: Avançando na orientação a objetos;2019-12-28;2019-12-31;https://cursos.alura.com.br/user/viniantunes/course/python-3-avancando-orientacao-objetos/certificate;https://www.alura.com.br/assets/api/cursos/python-3-avancando-orientacao-objetos.svg
Hábitos: da produtividade às metas pessoais;2020-01-01;2020-01-02;https://cursos.alura.com.br/user/viniantunes/course/habitos/certificate;https://www.alura.com.br/assets/api/cursos/habitos.svg
Eficácia parte 1: Hábitos para sua proatividade;2020-01-03;2020-01-04;https://cursos.alura.com.br/user/viniantunes/course/habitos-eficazes/certificate;https://www.alura.com.br/assets/api/cursos/habitos-eficazes.svg
Python: Manipulação de Strings;2020-01-03;2020-01-04;https://cursos.alura.com.br/user/viniantunes/course/python-manipulando-strings/certificate;https://www.alura.com.br/assets/api/cursos/python-manipulando-strings.svg
Lógica de programação I: Os primeiros programas com Javascript e HTML;2019-12-31;2020-01-07;https://cursos.alura.com.br/user/viniantunes/course/logica-programacao-javascript-html/certificate;https://www.alura.com.br/assets/api/cursos/logica-programacao-javascript-html.svg
Python Collections parte 1: Listas e tuplas;2020-01-04;2020-01-10;https://cursos.alura.com.br/user/viniantunes/course/python-collections-listas-e-tuplas/certificate;https://www.alura.com.br/assets/api/cursos/python-collections-listas-e-tuplas.svg
Eficácia parte 2: Hábitos para sua proatividade;2020-01-04;2020-01-13;https://cursos.alura.com.br/user/viniantunes/course/habitos-eficazes-2/certificate;https://www.alura.com.br/assets/api/cursos/habitos-eficazes-2.svg
Python Collections parte 2: Conjuntos e dicionários;2020-01-10;2020-01-21;https://cursos.alura.com.br/user/viniantunes/course/python-collections-conjuntos-e-dicionarios/certificate;https://www.alura.com.br/assets/api/cursos/python-collections-conjuntos-e-dicionarios.svg
